bits,dataset_size,mean_accuracy,std_accuracy
10,1,51.225500,7.391394
10,10,58.276500,7.248165
10,20,65.568500,6.288271
10,50,78.705500,4.518564
10,100,88.469500,2.883023
10,150,91.825000,2.268695
10,200,93.972000,1.715435
20,1,50.569500,5.255218
20,2,50.894000,5.121852
20,20,58.772000,5.307864
20,40,65.680000,3.915431
20,100,78.995500,3.274176
20,200,88.122000,2.222682
20,300,91.813000,1.744715
40,2,50.547500,3.931030
40,4,50.519000,4.217824
40,40,57.980500,3.712542
40,80,65.532500,3.106573
40,200,78.723000,2.403387
40,400,87.895500,1.706731
40,600,91.644000,1.339613
60,3,50.597500,3.381870
60,6,51.015000,3.331317
60,60,58.389000,2.996027
60,120,65.242000,2.854844
60,300,78.657000,2.469869
60,600,87.789000,1.603801
60,900,91.732500,1.266805
80,4,50.647000,3.116455
80,8,51.228000,3.154380
80,80,58.587000,2.744127
80,160,65.190000,2.482035
80,400,78.741500,2.245335
80,800,87.853500,1.515648
80,1200,91.698000,1.197370
100,5,50.536500,2.890401
100,10,51.022000,2.821988
100,100,58.478500,2.652789
100,200,65.007500,2.445730
100,500,78.844000,1.962489
100,1000,88.003000,1.279254
100,1500,91.606000,1.158691
120,6,50.678500,2.774417
120,12,51.200500,2.427766
120,120,58.469000,2.588134
120,240,65.224000,2.369034
120,600,78.625500,1.651302
120,1200,87.674500,1.284796
120,1800,91.732500,1.003042
